"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","entrez_ids"
"FBgn0038339",11.8922450087331,2.40512080942064,0.95762971624694,2.51153527153124,0.0120207272656072,0.0405860758544148,"CG6118","41884"
"FBgn0038451",24.4442099539055,2.09394733422266,0.507492115451758,4.12606870228649,3.6901707092347e-05,0.000417030065510474,"CG14893","42023"
"FBgn0038717",150.551175579686,-2.259540692093,0.290885001142895,-7.76781437067983,7.98519682686232e-15,9.42330006308474e-13,"CG17751","42336"
"FBgn0038973",760.871888907603,-2.50048366141506,0.377388872504372,-6.62574824960185,3.45493561776799e-11,2.00011437909748e-09,"Pebp1","42644"
"FBgn0039052",140.135967414405,-2.01483587651074,0.212909911124966,-9.46332590091659,2.98300912456264e-21,7.78946191186325e-19,"CG6733","42731"
"FBgn0039241",7330.72297040076,2.0322375100849,0.0953841444579207,21.3058210212435,1.00254522157786e-100,4.10141250147504e-97,"CG11089","42973"
"FBgn0039311",720.12161725952,-2.23226628483434,0.168092835522185,-13.2799609090997,3.02552069520131e-40,2.8563242686312e-37,"CG10513","43051"
"FBgn0039312",1593.35582962732,-2.49832325921006,0.157780734944905,-15.8341464189683,1.80897280301837e-56,2.77519040143056e-53,"CG10514","43052"
"FBgn0039313",2319.76492376831,-2.6577441388646,0.298914794261857,-8.891310132132,6.0392558094261e-19,1.15812166482948e-16,"CG11892","43053"
"FBgn0039472",63.8585881604857,-2.50029880297926,0.443099275467673,-5.64275082675389,1.67354466106703e-08,4.99742423972644e-07,"CG17192","43248"
"FBgn0039851",7.85305504212838,2.54474643877253,1.03845694705381,2.45050740523445,0.0142655028242607,0.0463707600656146,"mey","43715"
"FBgn0040949",7.6800794249947,-2.32021223485275,0.935742089786833,-2.47954245104151,0.0131551069725304,0.043483067027704,"CG13998","50423"
"FBgn0041709",615.168627238567,4.02046339738768,1.31790243208207,3.05065329535512,0.00228344081860052,0.0112684636777982,"yellow-g","38294"
"FBgn0044810",17.6355198354771,-2.04357606544175,0.564743271172905,-3.61859303112631,0.000296209019557611,0.00227366319387176,"TotX","117460"
"FBgn0051041",19.9425081165405,-2.0162295834977,0.607953467578789,-3.31642089571009,0.000911783955917442,0.00549893095379596,"CG31041","318567"
"FBgn0051233",330.773105328773,-2.14156508410237,0.450683384989414,-4.75181725226607,2.01596539658374e-06,3.4562395553171e-05,"CG31233","42557"
"FBgn0051354",7.06350773626746,-2.50076661049644,0.950687745897121,-2.63048158692377,0.00852639883140576,0.0310333608712464,"Hsp70Bbb","50022"
"FBgn0051524",50.9822952359107,-2.08645695846056,0.479928197848594,-4.34743565352828,1.37738461198142e-05,0.000181185866482829,"CG31524","318781"
"FBgn0052072",64.2801905644097,-2.82873103861312,0.779257702534194,-3.63003282407592,0.000283385180213437,0.00219775677190637,"Elo68alpha","317841"
"FBgn0052774",131.900080397563,3.04095534855605,0.258264753633692,11.7745658506277,5.27881755754505e-32,3.05049228293222e-29,"Muc4B","31368"
"FBgn0052855",8.51252772914469,2.35096220223068,0.912275759948683,2.57703021985691,0.00996532378649756,0.035064922995596,"CG32855","318250"
"FBgn0053290",72.7379739289637,-2.36378256331259,0.975409536909887,-2.4233744636136,0.0153770669199258,0.0491721579750519,"CG33290","2768993"
"FBgn0053325",15.8269149815024,-2.3696702299835,0.667505825464536,-3.55003677808261,0.000385177336352333,0.00279720795801904,"CG33325","2768664"
"FBgn0062412",104.646896652583,-2.09957214402414,0.244962944880508,-8.57097854146187,1.02609367333053e-17,1.79903537896937e-15,"Ctr1B","40989"
"FBgn0082980",8.55570463236355,-2.78993537657712,0.889909140391007,-3.13507890856282,0.00171807890639012,0.00909662744526573,"snoRNA:Psi28S-2996","12798535"
"FBgn0083974",13.3973277090265,-2.35330637617262,0.697083752489098,-3.37593060772051,0.000735664713547606,0.00464923430966518,"CG34138","4379856"
"FBgn0085476",30.4833220809191,-2.01707412256624,0.599334652622011,-3.36552227331059,0.000763988988242648,0.0048084291552318,"CG34447","5740813"
"FBgn0086265",448.542028440917,-2.84990704218319,0.959791598541052,-2.96929775850845,0.00298481216922178,0.0138602344884067,"psd","33830"
"FBgn0086266",123.288921138991,-2.65906816016899,0.919182182517846,-2.8928630371024,0.00381747725083661,0.0167799763259186,"Vm26Ac","33828"
"FBgn0260011",18.9095821459408,2.0474008548998,0.567847522024123,3.60554686864131,0.000311496263105717,0.00236864537614403,"NimC4","34824"
"FBgn0260437",6.95115253672878,2.65947984048735,0.976921393664074,2.72230688951607,0.00648279093743851,0.0253559153889853,NA,NA
"FBgn0261054",20.3244944688039,-2.39985722988932,0.672500699541988,-3.56855722458544,0.00035895245969201,0.00265028853653328,"Sfp24Bc","8673990"
"FBgn0261805",127.284868627562,2.5867966151388,0.284491745991969,9.09269478493702,9.66141704493801e-20,2.19582539615786e-17,"CG42751","10178957"
"FBgn0263082",13.7050696006437,-2.46721893575037,0.706149842326789,-3.49390283458932,0.00047601423282253,0.00330436803135232,"CG43350","12798309"
"FBgn0263109",6.20537582907191,3.54119394673325,1.23224815902112,2.87376687951096,0.00405608228602625,0.017577788805226,"CG43366","35519"
"FBgn0263662",30.2697733228675,3.1816944534743,0.52925885674567,6.01160360931519,1.83697047301713e-09,7.22600596645488e-08,"lncRNA:CR43653","14462499"
"FBgn0264083",10.3297665568751,-2.72671150704405,0.800447949783972,-3.40648196772813,0.000658058973104754,0.00426631739065897,"lncRNA:CR43752","14462725"
"FBgn0264480",13.569185844914,-2.47324957466615,0.670095787351398,-3.69088960317426,0.000223471117951886,0.00181753547423691,"lncRNA:CR43888","14462909"
"FBgn0264831",9.34105266651905,-3.26901254789877,0.887749913815074,-3.68235749395942,0.000231087048088984,0.00186220048666848,"lncRNA:CR44039","14462456"
"FBgn0265266",28.7063873246555,-2.04406043998543,0.502553242054652,-4.06735101663743,4.75505897549066e-05,0.000509192406598312,"CG13639","12798257"
"FBgn0265315",10.5695729266658,-2.7683234450312,0.832546988084415,-3.32512577025923,0.000883786574555122,0.00535640129852593,"lncRNA:CR44288","19834894"
"FBgn0265538",24.175018895622,-2.88310539488956,0.613083753466791,-4.70262892889679,2.5683293722768e-06,4.25960897107476e-05,"CG44388","19834768"
"FBgn0266766",9.12962175539567,-3.24016767355797,0.950872457424281,-3.40757337985677,0.000655432825307781,0.00425615188624465,"lncRNA:CR45231","19835623"
"FBgn0267106",11.0013041652163,-2.07970254002065,0.767209168470344,-2.71073733929321,0.00671337833898497,0.0260820805173671,"CG45546","19835889"
"FBgn0267763",7.14823813395549,2.47610113779236,0.950022876490457,2.60635948782569,0.00915103617971524,0.0327914356302614,"lncRNA:CR46094","26067411"
"FBgn0283479",7.83101861233948,2.5676329287737,1.05148773540087,2.44190478150923,0.0146099994893009,0.0472120041302936,"Alp1","40372"
"FBgn0283480",494.337152096825,-2.29692858799545,0.167576125993218,-13.7067769909445,9.2475244856556e-43,9.45790566770426e-40,"Alp2","37539"
"FBgn0286723",47.3428616059778,4.40040797368126,0.523641605031573,8.40347277870699,4.33465325556326e-17,7.18908100074701e-15,"hll","34822"
"FBgn0287184",1782.66602832109,-2.30550287526258,0.327399670433205,-7.04186070869284,1.89689409877805e-12,1.40244465507849e-10,"FASN3","3355111"
